cluster,hCluster_cap
1,10
2,10
3,12
4,12
5,12
6,12
7,4
8,13
9,13
10,11
11,10
12,10
13,12
14,12
15,12
16,12
17,11
18,11
19,11
20,11
21,16
22,4
23,17
24,17
25,20
26,7
27,7
28,11
29,7
30,11
31,16
32,18
33,20
34,17
35,5
36,5
37,7
38,15
39,3
40,3
41,16
42,9
43,9
44,5
45,5
46,5
47,11
48,11
49,3
50,3
51,8
52,8
53,9
54,6
55,5
56,1
57,1
58,11
59,3
60,3
61,8
62,8
63,11
64,8
65,14
66,10
67,10
68,4
69,1
70,1
71,4
72,10
73,10
74,11
75,8
76,9
77,9
78,1
79,12
80,1
81,4
82,4
83,19
84,2
85,1
86,9
87,8
88,14
89,9
90,1
91,4
92,19
93,19
94,2
95,2
96,4
97,1
98,1
99,1
100,1
